suara_presma_sah,alasan_suara_presma_tidak_sah,suara_dpm_sah,alasan_suara_dpm_tidak_sah,waktu,dalam_waktu_pemungutan,nim_email_hashed,jenis_email,input_fakultas,fakultas_tercatat,terdaftar,fakultas_benar,dapil_sesuai,pilihan_presma,pilihan_dpm_fh,pilihan_dpm_feb,pilihan_dpm_fp,pilihan_dpm_ft,pilihan_dpm_fisib,pilihan_dpm_fkis
true,,true,,2020-12-18 08:19:28 +0700 +07,true,ca02ac0e47b66bcbbaecad6a1c09a14a,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:29 +0700 +07,true,2510e324cf1d63fa4efdb5a0a6a51730,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:30 +0700 +07,true,c46158a13b3575a35d3456b10ec59eee,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:38 +0700 +07,true,97462f8014aaded1e3475a0a638a3a25,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:39 +0700 +07,true,6e681c8ac79578f47360eb49b9748f88,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 5,,,,
true,,true,,2020-12-18 08:19:40 +0700 +07,true,6f812f82beec06c55fb5ec89fcb72936,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 5,,,,
true,,true,,2020-12-18 08:19:40 +0700 +07,true,09d83517c9b719dd09c552e160fcab18,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:44 +0700 +07,true,4ea6c628ddcdac0c7be0a2a2411afa0b,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:44 +0700 +07,true,72e5518ae2f547d21f04b154a0558e3d,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 5,,,,
true,,true,,2020-12-18 08:19:47 +0700 +07,true,636f33a99271d457ded04b15826d33e2,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 1
true,,true,,2020-12-18 08:19:49 +0700 +07,true,5b0fc873a726e84d4c0f5291d2bf21e9,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:52 +0700 +07,true,607f12637e554260dda61ca17e9c7d23,student,FH,FH,true,true,true,Pasangan calon nomor urut 1,Calon DPM nomor urut 1,,,,,
true,,true,,2020-12-18 08:19:54 +0700 +07,true,15bbb39d2d184e0e83f9352b65744b6d,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:19:56 +0700 +07,true,7544fd5fcbe9d50406b0fc992f3e68b2,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 1,,,,
true,,true,,2020-12-18 08:20:03 +0700 +07,true,984f97f4f1ab8b2910a99b95c58f01be,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 3,,
true,,true,,2020-12-18 08:20:03 +0700 +07,true,17e2e6ab06bb41adee896178bf6e7ac1,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 2
true,,true,,2020-12-18 08:20:06 +0700 +07,true,cb5358b88251cfe7261d307e4479fa1f,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 2,,
true,,true,,2020-12-18 08:20:12 +0700 +07,true,83dfde04645f3b9a0c7dc276ded2a08b,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 1
true,,true,,2020-12-18 08:20:15 +0700 +07,true,00a84dee667cd8ab743f0a818ece2287,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:20:15 +0700 +07,true,0fd612d94a8f5aac748db7a787312eeb,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:20:18 +0700 +07,true,473dd521fc98def6c4bc54894f1ca840,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:20:18 +0700 +07,true,71d54aeab997dac30f028a81fe635b18,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:20:18 +0700 +07,true,64533d886a9a1841aac516e98e5dc520,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
